iter	Logloss
0	0.6508560822
1	0.6172452654
2	0.5893382866
3	0.5670993068
4	0.5461951504
5	0.5289205343
6	0.5103123128
7	0.4951012235
8	0.4807851134
9	0.4679176266
10	0.4550624495
11	0.4443617107
12	0.4346844329
13	0.4259597394
14	0.4160573623
15	0.4067021859
16	0.3987032466
17	0.3911675846
18	0.3848964146
19	0.3776007901
20	0.3702179083
21	0.3633779959
22	0.3577759046
23	0.3525962188
24	0.3472557709
25	0.3421852689
26	0.3377461153
27	0.3341057401
28	0.3294510401
29	0.3248918998
30	0.3204437384
31	0.3160937013
32	0.3124815356
33	0.3087538391
34	0.3049998243
35	0.3021210743
36	0.2977283382
37	0.2942928026
38	0.2911083959
39	0.2871945165
40	0.2838707291
41	0.2808543614
42	0.2780845706
43	0.2750337104
44	0.2729471671
45	0.2696083454
46	0.2671245286
47	0.2638995066
48	0.2613060575
49	0.2595117713
50	0.2573139287
51	0.2550796381
52	0.2526541958
53	0.2504528911
54	0.2479375791
55	0.2463835388
56	0.2449512802
57	0.2430626845
58	0.2409115318
59	0.2387996802
60	0.2374843149
61	0.2357644314
62	0.2336947657
63	0.232059623
64	0.2300736243
65	0.2286069854
66	0.2268035151
67	0.2250117134
68	0.2229024422
69	0.2214201759
70	0.2201422844
71	0.2191131976
72	0.2180604534
73	0.2161575606
74	0.2144705828
75	0.2131553618
76	0.2113444865
77	0.2101450688
78	0.2087009975
79	0.2081335533
80	0.2068453877
81	0.205601604
82	0.2036642027
83	0.2022843561
84	0.200836406
85	0.1998085214
86	0.1983885565
87	0.1977239657
88	0.1976732206
89	0.1972705296
90	0.1970124285
91	0.1959057656
92	0.1941769704
93	0.1924272104
94	0.1919613365
95	0.1919156083
96	0.1918296333
97	0.1906861377
98	0.1897922644
99	0.1887892555
