iter	Passed	Remaining
0	2	226
1	2	144
2	6	212
3	10	248
4	13	263
5	17	267
6	21	291
7	24	286
8	27	279
9	31	283
10	34	279
11	37	272
12	39	266
13	42	261
14	46	261
15	49	258
16	51	253
17	54	248
18	57	244
19	60	243
20	80	301
21	84	298
22	88	295
23	93	294
24	95	287
25	98	281
26	101	274
27	104	268
28	110	269
29	113	264
30	116	258
31	118	252
32	123	250
33	126	245
34	129	240
35	132	234
36	135	231
37	139	227
38	142	222
39	144	217
40	147	212
41	150	207
42	155	206
43	158	201
44	167	205
45	174	205
46	180	204
47	186	201
48	191	198
49	197	197
50	200	192
51	206	190
52	208	185
53	212	180
54	214	175
55	218	171
56	221	167
57	224	162
58	227	157
59	229	153
60	233	149
61	238	146
62	241	141
63	244	137
64	248	133
65	251	129
66	254	125
67	257	120
68	259	116
69	263	112
70	266	108
71	269	104
72	272	100
73	275	96
74	280	93
75	284	89
76	286	85
77	290	81
78	294	78
79	297	74
80	300	70
81	303	66
82	306	62
83	309	58
84	312	55
85	315	51
86	317	47
87	321	43
88	329	40
89	332	36
90	337	33
91	340	29
92	343	25
93	346	22
94	349	18
95	352	14
96	355	10
97	358	7
98	361	3
99	364	0
